pressureTimestamp,pressure
89651128,-222.242
89674964,-222.242
89704964,-222.242
89728964,-241.586
89752964,-222.242
89776964,-241.586
89806964,-231.914
89831128,-231.914
89854964,-222.242
89878968,-231.914
89902964,-222.242
89902964,-222.242
89933084,-222.242
89957056,-231.914
89981220,-231.914
90005192,-222.242
90029056,-241.586
90058968,-231.914
90082968,-222.242
90106968,-222.242
90131132,-222.242
90154968,-164.234
90184968,-164.234
90208968,-173.898
90232968,-164.234
90256968,-164.234
90286972,-164.234
90311132,-164.234
90334968,-164.234
90358968,-173.898
90382968,-164.234
90382968,-164.234
90413060,-154.562
90437060,-164.234
90461212,-164.234
90485064,-164.234
90509060,-164.234
90538968,-164.234
90562968,-164.234
90586972,-154.562
90611132,-173.898
90634968,-173.898
90664968,-164.234
90718972,-231.914
90742972,-212.57
90742972,-212.57
90773064,-231.914
90797060,-222.242
90821224,-202.906
90845060,-231.914
90869060,-231.914
90898972,-231.914
90922972,-222.242
90946976,-241.586
90971128,-222.242
90994972,-231.914
91024972,-222.242
91048972,-231.914
91072972,-222.242
91096972,-212.57
91126972,-231.914
91151136,-231.914
91174972,-231.914
91198976,-222.242
91222972,-241.586
91222972,-241.586
91253064,-222.242
91277064,-212.57
91301240,-231.914
91325092,-231.914
91349064,-193.227
91378976,-222.242
91402976,-241.586
91426976,-183.562
91451140,-193.227
91474972,-164.234
91505136,-193.227
91528976,-183.562
91552976,-202.906
91576976,-222.242
91606976,-193.227
91631168,-241.586
91678976,-183.562
91702976,-173.898
91702976,-173.898
91733068,-173.898
91757068,-164.234
91781232,-173.898
91805068,-173.898
91829068,-212.57
91858976,-164.234
91882976,-164.234
91906976,-212.57
91931140,-222.242
91954976,-222.242
91984980,-241.586
92008980,-173.898
92032980,-193.227
92056980,-222.242
92086980,-231.914
92111132,-164.234
92134976,-164.234
92158980,-164.234
92182980,-164.234
92182980,-164.234
92213068,-164.234
92237072,-173.898
92261232,-164.234
92285072,-164.234
92309072,-154.562
92338984,-164.234
92362980,-173.898
92386980,-183.562
92411132,-212.57
92434980,-222.242
